model,feature_mode,k,max_depth,cv_macro_f1,cv_accuracy,complexity,C,n_estimators,min_samples_leaf
decision_tree,all,78,,0.9448238473509889,0.9447983014861995,0,,,
decision_tree,all,78,10.0,0.9512012926004461,0.951167728237792,10,,,
decision_tree,all,78,20.0,0.9448136164319164,0.9447983014861995,20,,,
decision_tree,all,78,30.0,0.9448238473509889,0.9447983014861995,30,,,
svm,all,78,,0.9209740984239325,0.9218683651804671,1,1.0,,
svm,all,78,,0.9284949927787375,0.9290870488322718,10,10.0,,
svm,all,78,,0.9332513830134499,0.9337579617834397,100,100.0,,
random_forest,all,78,,0.9566808092292979,0.9566878980891719,101,,100.0,1.0
random_forest,all,78,,0.9575360646327878,0.9575371549893845,102,,100.0,2.0
random_forest,all,78,,0.9502139087205028,0.9503184713375796,104,,100.0,4.0
random_forest,all,78,,0.957557992416618,0.9575371549893843,201,,200.0,1.0
random_forest,all,78,,0.9579225215526603,0.9579617834394906,202,,200.0,2.0
random_forest,all,78,,0.9494099884421988,0.9494692144373673,204,,200.0,4.0
random_forest,all,78,,0.9579846355175261,0.9579617834394906,301,,300.0,1.0
random_forest,all,78,,0.9583655758443858,0.9583864118895965,302,,300.0,2.0
random_forest,all,78,,0.9494202115085887,0.9494692144373673,304,,300.0,4.0
extra_trees,all,78,,0.9507164159508426,0.9507430997876858,101,,100.0,1.0
extra_trees,all,78,,0.9462990653000105,0.9464968152866241,102,,100.0,2.0
extra_trees,all,78,,0.9386379103737482,0.9388535031847134,104,,100.0,4.0
extra_trees,all,78,,0.9515566268363786,0.9515923566878982,201,,200.0,1.0
extra_trees,all,78,,0.9484676777909401,0.948619957537155,202,,200.0,2.0
extra_trees,all,78,,0.9378322672500709,0.9380042462845012,204,,200.0,4.0
extra_trees,all,78,,0.9515711791685224,0.9515923566878982,301,,300.0,1.0
extra_trees,all,78,,0.9480728445413066,0.948195329087049,302,,300.0,2.0
extra_trees,all,78,,0.9382459185009064,0.9384288747346072,304,,300.0,4.0
decision_tree,chi2,20,,0.9457437281662383,0.9456475583864119,0,,,
decision_tree,chi2,20,10.0,0.9521604699684489,0.9520169851380043,10,,,
decision_tree,chi2,20,20.0,0.9457675082762617,0.9456475583864119,20,,,
decision_tree,chi2,20,30.0,0.9457437281662383,0.9456475583864119,30,,,
svm,chi2,20,,0.8443425608754087,0.8450106157112527,1,1.0,,
svm,chi2,20,,0.8814279377516634,0.8828025477707007,10,10.0,,
svm,chi2,20,,0.9020169376567908,0.9031847133757962,100,100.0,,
random_forest,chi2,20,,0.9456221087233881,0.9456475583864119,101,,100.0,1.0
random_forest,chi2,20,,0.9519432234655734,0.9520169851380043,102,,100.0,2.0
random_forest,chi2,20,,0.950167633975315,0.9503184713375796,104,,100.0,4.0
random_forest,chi2,20,,0.948240121658,0.948195329087049,201,,200.0,1.0
random_forest,chi2,20,,0.952857076530855,0.9528662420382166,202,,200.0,2.0
random_forest,chi2,20,,0.9501580272032392,0.9503184713375796,204,,200.0,4.0
random_forest,chi2,20,,0.9473424572097278,0.9473460721868365,301,,300.0,1.0
random_forest,chi2,20,,0.9536905479574573,0.9537154989384289,302,,300.0,2.0
random_forest,chi2,20,,0.9510435379008187,0.9511677282377919,304,,300.0,4.0
extra_trees,chi2,20,,0.9481553066064329,0.948195329087049,101,,100.0,1.0
extra_trees,chi2,20,,0.9464475981433139,0.9464968152866241,102,,100.0,2.0
extra_trees,chi2,20,,0.9269133833141142,0.926963906581741,104,,100.0,4.0
