model,seed,accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_samples
random_forest_all,42,0.9782118707738543,0.8647484084891902,0.9538968500409043,0.8921649502180676,0.8715498999808915,0.04372829999192618,78,7986
random_forest_chi2,42,0.9787127473077887,0.8678688971490548,0.9523088235065964,0.8935651139924344,0.7819164999818895,0.030576299992389977,60,7986
extra_trees_chi2,42,0.9650638617580767,0.8306916895743303,0.9623225812821156,0.8620833446551351,0.4309541000111494,0.031240099982824177,60,7986
weighted_rf_chi2,42,0.9787127473077887,0.8678688971490548,0.9523088235065964,0.8935651139924344,2.0297276999917813,0.14868310000747442,60,7986
random_forest_all,2024,0.9775857751064363,0.8633293248175523,0.9512966674562536,0.8894412762592889,0.7445766000018921,0.031867300014710054,78,7986
random_forest_chi2,2024,0.9784623090408214,0.8675776401039592,0.9541479263674555,0.8941173831321747,0.7948307000042405,0.0296245000208728,60,7986
extra_trees_chi2,2024,0.9655647382920111,0.8323676053255433,0.9626481527898392,0.8633519678215082,0.4544068000104744,0.030827099981252104,60,7986
weighted_rf_chi2,2024,0.9783370899073378,0.8671982688150432,0.9540223770893638,0.8936995928509421,2.0943033000221476,0.1389482000085991,60,7986
random_forest_all,3407,0.9775857751064363,0.8644712319275181,0.9530923891272748,0.8902585584391159,0.7533244000223931,0.03135570001904853,78,7986
random_forest_chi2,3407,0.9783370899073378,0.8661003246879693,0.9482817608003258,0.8912074267284449,0.8127629000227898,0.03278380000847392,60,7986
extra_trees_chi2,3407,0.9656899574254946,0.8321528877083992,0.9628914006018846,0.8634821168707921,0.4107504000130575,0.03983919997699559,60,7986
weighted_rf_chi2,3407,0.9784623090408214,0.8668001916987113,0.9502619588201278,0.8921995954536577,2.0753767999995034,0.13198859998374246,60,7986
