,precision,recall,f1-score,support
Analysis,0.006493506493506494,0.0029542097488921715,0.0040609137055837565,677.0
Backdoor,0.04777183600713013,0.45969125214408235,0.08654932988858388,583.0
DoS,0.3885286783042394,0.19051112741501589,0.25566130620282246,4089.0
Exploits,0.8037230568256042,0.6632231404958677,0.7267447583423565,11132.0
Fuzzers,0.7864250177683013,0.7301220719234576,0.7572284003421728,6062.0
Generic,0.9924845027154534,0.9587197286842245,0.9753099730458221,18871.0
Normal,1.0,0.9999189189189189,0.9999594578158574,37000.0
Reconnaissance,0.8984350047908016,0.8046338672768879,0.8489512599969821,3496.0
Shellcode,0.2525,0.8015873015873016,0.3840304182509506,378.0
Worms,0.631578947368421,0.5454545454545454,0.5853658536585366,44.0
accuracy,0.863418840790944,0.863418840790944,0.863418840790944,0.863418840790944
macro avg,0.5807940550273458,0.6156816163649195,0.5623861671249668,82332.0
weighted avg,0.9027915352152814,0.863418840790944,0.8784127123457727,82332.0
