,precision,recall,f1-score,support
Analysis,0.07111111111111111,0.023633677991137372,0.03547671840354767,677.0
Backdoor,0.02815829528158295,0.0634648370497427,0.03900896151818661,583.0
DoS,0.5498981670061099,0.06603081438004402,0.11790393013100436,4089.0
Exploits,0.6175080355454717,0.8801652892561983,0.7258046594318308,11132.0
Fuzzers,0.8308270676691729,0.7291322995710986,0.7766649095062379,6062.0
Generic,0.9965082655900486,0.9678872343807959,0.9819892473118279,18871.0
Normal,1.0,1.0,1.0,37000.0
Reconnaissance,0.9329309188464118,0.795766590389016,0.8589070700833591,3496.0
Shellcode,0.3269230769230769,0.6746031746031746,0.44041450777202074,378.0
Worms,0.6666666666666666,0.36363636363636365,0.47058823529411764,44.0
accuracy,0.8849414565418063,0.8849414565418063,0.8849414565418063,0.8849414565418063
macro avg,0.6020531604639652,0.5564320281257571,0.5446758239452133,82332.0
weighted avg,0.892037233126964,0.8849414565418063,0.8749661134525534,82332.0
