,precision,recall,f1-score,support
Analysis,0.01907356948228883,0.0103397341211226,0.013409961685823755,677.0
Backdoor,0.03955724913808746,0.37392795883361923,0.07154578273711848,583.0
DoS,0.5477386934673367,0.13328442161897774,0.2143981117230527,4089.0
Exploits,0.855552776388194,0.6145346748113547,0.7152864910079465,11132.0
Fuzzers,0.7115468409586057,0.8081491257010888,0.7567776318838341,6062.0
Generic,0.9425085251491901,0.9373642096338297,0.9399293286219081,18871.0
Normal,1.0,1.0,1.0,37000.0
Reconnaissance,0.8115655853314527,0.8229405034324943,0.8172134639965913,3496.0
Shellcode,0.2552845528455285,0.8306878306878307,0.39054726368159204,378.0
Worms,0.45714285714285713,0.36363636363636365,0.4050632911392405,44.0
accuracy,0.8551474517805956,0.8551474517805956,0.8551474517805956,0.8551474517805956
macro avg,0.5639970649903542,0.5894864822476681,0.5324171326477107,82332.0
weighted avg,0.8970146743443426,0.8551474517805956,0.8652462361858178,82332.0
