,precision,recall,f1-score,support
Analysis,0.023255813953488372,0.014771048744460856,0.018066847335140017,677.0
Backdoor,0.03841205660724131,0.3584905660377358,0.0693891102257636,583.0
DoS,0.5480283114256825,0.13255074590364394,0.2134698700275699,4089.0
Exploits,0.8503164949733152,0.6154329859863457,0.7140549273021002,11132.0
Fuzzers,0.7061101549053356,0.8121082151105246,0.755408930489489,6062.0
Generic,0.9494547993769136,0.9366753219225267,0.9430217669654289,18871.0
Normal,1.0,1.0,1.0,37000.0
Reconnaissance,0.8074761101742552,0.8217963386727689,0.8145732917493621,3496.0
Shellcode,0.25142857142857145,0.8148148148148148,0.38427947598253276,378.0
Worms,0.37209302325581395,0.36363636363636365,0.367816091954023,44.0
accuracy,0.8551717436719622,0.8551717436719622,0.8551717436719622,0.8551717436719622
macro avg,0.5546575336100618,0.5870276400829184,0.5280080312031409,82332.0
weighted avg,0.8973023764123478,0.8551717436719622,0.8655038786271713,82332.0
