model,seed,accuracy,balanced_accuracy,macro_f1,train_seconds,predict_seconds,feature_count,test_samples,log_loss,brier_macro,ece
rf_all,152,0.8635767380848273,0.6034873219135913,0.5656240193645672,3.7242520000145305,0.4023515000008046,43,82332,0.3935428760963148,0.0169230012162256,0.0522897535247317
rf_chi2,152,0.8635767380848273,0.6034873219135913,0.5656240193645672,3.7607104999769945,0.4067751000111457,43,82332,0.3935428760963148,0.0169230012162256,0.0522897535247317
extra_trees_chi2,152,0.8551717436719622,0.5870276400829184,0.5280080312031409,2.637828000006266,0.4295107999932952,43,82332,0.4456795808282477,0.0194126456154284,0.0488851321598456
xgboost_chi2,152,0.8862653646212895,0.5628090069283072,0.5528979733843935,6.606150099978549,0.3316144999989774,43,82332,0.291984016702483,0.0140582917325015,0.0176012237297893
rf_all,152024,0.863418840790944,0.6156816163649195,0.5623861671249668,3.6927303999837022,0.4101258000009693,43,82332,0.397668031078225,0.0170237164865816,0.0540285820908622
rf_chi2,152024,0.863418840790944,0.6156816163649195,0.5623861671249668,3.738598800002365,0.4060472999990452,43,82332,0.397668031078225,0.0170237164865816,0.0540285820908621
extra_trees_chi2,152024,0.8557183112277121,0.5972840187175753,0.5326041513805206,2.589945600018837,0.4289864000165835,43,82332,0.4466331632509207,0.0194168785239257,0.053714573524338
xgboost_chi2,152024,0.8849414565418063,0.5564320281257571,0.5446758239452133,6.8276134000043385,0.3421836000052281,43,82332,0.2916993349687445,0.0140966674807769,0.0202833141377424
rf_all,153407,0.8628479813438275,0.6027556421413115,0.5599417598890877,3.822669200017117,0.4071697999897878,43,82332,0.4097041138763319,0.0171093115198984,0.0533058810825604
rf_chi2,153407,0.8628479813438275,0.6027556421413115,0.5599417598890877,3.759569599991664,0.4187608000065665,43,82332,0.4097041138763319,0.0171093115198984,0.0533058810825604
extra_trees_chi2,153407,0.8551474517805956,0.5894864822476681,0.5324171326477107,2.660844900005032,0.4277173999871593,43,82332,0.4474261096820201,0.0194800414329997,0.0583444701433283
xgboost_chi2,153407,0.885220813292523,0.5624607205692692,0.5497697736285532,6.56633289999445,0.3470797000045422,43,82332,0.293408710335708,0.0141461243069105,0.0192305131433433
