model,metric,estimate,ci95_low,ci95_high,replicates,seed
extra_trees_chi2,accuracy,0.8557183112277121,0.8533374022251372,0.8580633896905213,1000,20260904
extra_trees_chi2,balanced_accuracy,0.5972840187175753,0.5820293476678176,0.6137656789479446,1000,20260904
extra_trees_chi2,macro_f1,0.5326041513805206,0.5179886672981132,0.5467698120935459,1000,20260904
extra_trees_chi2,log_loss,0.4466331632509205,0.44101106984402855,0.4522712391756195,1000,20260904
extra_trees_chi2,ece,0.053714573524337936,0.05205425117986452,0.0553196765082833,1000,20260904
rf_all,accuracy,0.863418840790944,0.8610500777340523,0.865726874119419,1000,20260904
rf_all,balanced_accuracy,0.6156816163649195,0.5998062633398229,0.6311006319877551,1000,20260904
rf_all,macro_f1,0.5623861671249667,0.5476228269103011,0.5745946270583824,1000,20260904
rf_all,log_loss,0.39766803107822507,0.39101122183609005,0.4045200375506192,1000,20260904
rf_all,ece,0.05402858209086217,0.05285126186901676,0.05555360856217447,1000,20260904
rf_chi2,accuracy,0.863418840790944,0.860965056114269,0.8656658407423602,1000,20260904
rf_chi2,balanced_accuracy,0.6156816163649195,0.5997460600204366,0.6318041937353995,1000,20260904
rf_chi2,macro_f1,0.5623861671249667,0.548889511284692,0.5749709524955614,1000,20260904
rf_chi2,log_loss,0.39766803107822507,0.39073280492529416,0.4049987691946554,1000,20260904
rf_chi2,ece,0.05402858209086217,0.05287666456775838,0.055713367903789855,1000,20260904
xgboost_chi2,accuracy,0.8849414565418063,0.8828514429383472,0.8871046494680076,1000,20260904
xgboost_chi2,balanced_accuracy,0.5564320281257571,0.5413141170703015,0.5720987709097131,1000,20260904
xgboost_chi2,macro_f1,0.5446758239452133,0.5282894511686985,0.5594964517005211,1000,20260904
xgboost_chi2,log_loss,0.29169933493512346,0.2863057643040058,0.29679926317059846,1000,20260904
xgboost_chi2,ece,0.020283314158062633,0.01886661178523178,0.021765500320570022,1000,20260904
