model,metric,estimate,ci95_low,ci95_high,replicates,seed
extra_trees_chi2,accuracy,0.6641281640188506,0.660957464898217,0.6676331802944178,300,20260905
extra_trees_chi2,balanced_accuracy,0.5913989769137015,0.5730289251306043,0.6069278234249963,300,20260905
extra_trees_chi2,macro_f1,0.4253188173361974,0.4181505176685518,0.4323274956244512,300,20260905
extra_trees_chi2,log_loss,0.8624500729766543,0.8520265723452466,0.8721400539547829,300,20260905
extra_trees_chi2,brier_macro,0.03960271444901546,0.0392540719749249,0.039942665760567125,300,20260905
extra_trees_chi2,ece,0.09530870099120765,0.09294329134302477,0.09730129039788432,300,20260905
rf_all,accuracy,0.7025214983238595,0.6992332871787397,0.7054082859641452,300,20260905
rf_all,balanced_accuracy,0.5611151460576258,0.5459636316485456,0.5758378624474586,300,20260905
rf_all,macro_f1,0.4811662012333386,0.466528397373756,0.49371816808367947,300,20260905
rf_all,log_loss,0.671448623106423,0.664291698398104,0.678229392777682,300,20260905
rf_all,brier_macro,0.03418238969048704,0.033868630246185895,0.0344946856842504,300,20260905
rf_all,ece,0.08335516754304455,0.08114256810786663,0.08557587255993536,300,20260905
rf_chi2,accuracy,0.7088130981878249,0.7052282223193898,0.7122261089248408,300,20260905
rf_chi2,balanced_accuracy,0.5347550989523056,0.521246946391154,0.5495457571623972,300,20260905
rf_chi2,macro_f1,0.4614116167265526,0.44564985185524203,0.47694820843546387,300,20260905
rf_chi2,log_loss,0.6821743422446715,0.6740135254832056,0.6897638255201543,300,20260905
rf_chi2,brier_macro,0.03440035897212314,0.03404305164485172,0.034720360293443074,300,20260905
rf_chi2,ece,0.0716876622199675,0.06924379732254936,0.0738131958337875,300,20260905
xgboost_chi2,accuracy,0.7675387455667299,0.764866637516397,0.7702658140212797,300,20260905
xgboost_chi2,balanced_accuracy,0.5171727147919587,0.5056780307164963,0.5333069225474399,300,20260905
xgboost_chi2,macro_f1,0.48103399309903294,0.4665145898145339,0.49723105539900503,300,20260905
xgboost_chi2,log_loss,0.5221816529242552,0.5159857743013482,0.5281413459342573,300,20260905
xgboost_chi2,brier_macro,0.02835158011736898,0.028031936881098292,0.028662282569959348,300,20260905
xgboost_chi2,ece,0.04131041306333521,0.03945218989541264,0.043426817914608895,300,20260905
