,precision,recall,f1-score,support
Analysis,0.02466091245376079,0.059084194977843424,0.034797738147020446,677.0
Backdoor,0.03653238546603475,0.31732418524871353,0.06552151584912343,583.0
DoS,0.2965074839629366,0.20347273171924676,0.24133430021754895,4089.0
Exploits,0.7327170005136107,0.6407653611210924,0.6836632002683664,11132.0
Fuzzers,0.26163566163566165,0.614813592873639,0.36706554390111784,6062.0
Generic,0.9998899284534948,0.962747072227227,0.9809670365270916,18871.0
Normal,0.982444453152553,0.6775945945945946,0.8020281834322366,37000.0
Reconnaissance,0.8143543373834417,0.8243707093821511,0.8193319118692253,3496.0
Shellcode,0.19242706393544382,0.8201058201058201,0.3117144293614882,378.0
Worms,0.47619047619047616,0.22727272727272727,0.3076923076923077,44.0
accuracy,0.7088130981878249,0.7088130981878249,0.7088130981878249,0.7088130981878249
macro avg,0.48173597031474136,0.5347550989523056,0.4614116167265526,82332.0
weighted avg,0.8399297251620038,0.7088130981878249,0.7538610230724212,82332.0
