,precision,recall,f1-score,support
Analysis,0.0570801317233809,0.07680945347119646,0.0654911838790932,677.0
Backdoor,0.025157232704402517,0.0548885077186964,0.03450134770889488,583.0
DoS,0.5407407407407407,0.05355832721936904,0.09746328437917223,4089.0
Exploits,0.5684687786960514,0.8897772188286023,0.6937246112900967,11132.0
Fuzzers,0.31436776451583953,0.5778620917189047,0.4072072072072072,6062.0
Generic,0.9991224702462568,0.9653436489852154,0.9819426476929711,18871.0
Normal,0.9713684501017628,0.761054054054054,0.8534452711815605,37000.0
Reconnaissance,0.9166125892277742,0.808066361556064,0.8589236850106415,3496.0
Shellcode,0.3149882903981265,0.7116402116402116,0.4366883116883117,378.0
Worms,0.631578947368421,0.2727272727272727,0.38095238095238093,44.0
accuracy,0.7675387455667299,0.7675387455667299,0.7675387455667299,0.7675387455667299
macro avg,0.5339485395722756,0.5171727147919587,0.48103399309903294,82332.0
weighted avg,0.8337547501196264,0.7675387455667299,0.7766889384165016,82332.0
