,precision,recall,f1-score,support
Analysis,0.008340283569641367,0.029542097488921712,0.013008130081300813,677.0
Backdoor,0.05541838134430727,0.692967409948542,0.10262923917185317,583.0
DoS,0.3205918618988903,0.12717045732452922,0.18210471020836982,4089.0
Exploits,0.8191336212537625,0.5622529644268774,0.6668087146433708,11132.0
Fuzzers,0.25508819538670285,0.7132959419333553,0.37578759831399644,6062.0
Generic,0.9996697126500055,0.9623231413279636,0.9806409806409806,18871.0
Normal,0.9945773524720893,0.5898918918918918,0.7405547544320977,37000.0
Reconnaissance,0.695933014354067,0.8320938215102975,0.7579468473163106,3496.0
Shellcode,0.17215326497571506,0.843915343915344,0.28597041685342894,378.0
Worms,0.10139860139860139,0.6590909090909091,0.17575757575757575,44.0
accuracy,0.6652334450760337,0.6652334450760337,0.6652334450760337,0.6652334450760337
macro avg,0.4422304289303782,0.6012543978858632,0.42812089674192844,82332.0
weighted avg,0.8524078366069783,0.6652334450760337,0.7188701687280645,82332.0
