,precision,recall,f1-score,support
Analysis,0.007527504342790967,0.019202363367799114,0.010815307820299502,677.0
Backdoor,0.03997119193374145,0.38078902229845624,0.07234805279452501,583.0
DoS,0.3165009940357853,0.1946686231352409,0.24106602059357965,4089.0
Exploits,0.7631888710540395,0.6406755300035932,0.696586414025492,11132.0
Fuzzers,0.26740022136857866,0.6774991751897064,0.38345548760562065,6062.0
Generic,0.9999449733120563,0.9629590376768586,0.981103552532124,18871.0
Normal,0.9852833563704366,0.655027027027027,0.7869086658657749,37000.0
Reconnaissance,0.8467577784239605,0.8329519450800915,0.8397981254506128,3496.0
Shellcode,0.20828025477707007,0.8650793650793651,0.33572895277207393,378.0
Worms,0.46153846153846156,0.5454545454545454,0.5,44.0
accuracy,0.703748238837876,0.703748238837876,0.703748238837876,0.703748238837876
macro avg,0.4896393607156921,0.5774306634312684,0.4847810579460103,82332.0
weighted avg,0.8480799585036344,0.703748238837876,0.7509715849337841,82332.0
