model,seed,accuracy,balanced_accuracy,macro_f1,train_seconds,predict_seconds,feature_count,test_samples,log_loss,brier_macro,ece
rf_all,42,0.8635767380848273,0.6034873219135913,0.5656240193645672,3.847070200019516,0.4068081000004895,43,82332,0.3935428760963148,0.0169230012162256,0.0522897535247317
rf_chi2,42,0.8572487003838118,0.5913909884821809,0.5430460370494152,3.191746600001352,0.4329261999810114,20,82332,0.4445905936736791,0.018528710703321,0.0431509161147137
extra_trees_chi2,42,0.8319972793081669,0.584656853171694,0.4934416320356807,2.043254599993816,0.5328384999884292,20,82332,0.514436904870863,0.0223872675803357,0.0363716496046495
xgboost_chi2,42,0.8797429917893407,0.5554605737841181,0.5402183109151449,6.937156800006051,0.368106899986742,20,82332,0.31011034181443,0.0149710611286564,0.0257440660752776
rf_all,2024,0.863418840790944,0.6156816163649195,0.5623861671249668,4.0596435999905225,0.418604000005871,43,82332,0.397668031078225,0.0170237164865816,0.0540285820908621
rf_chi2,2024,0.8548923869212457,0.5870659049684485,0.5328172296460899,2.827078600006644,0.3980677999788895,20,82332,0.4396686422905687,0.0186024737583163,0.0442694359877837
extra_trees_chi2,2024,0.8386654034883156,0.5936319778243443,0.4995665293224009,1.9961145000124816,0.4254521000257227,20,82332,0.5098643304809959,0.0220078883283981,0.0431444295053403
xgboost_chi2,2024,0.8791721323422241,0.554259125264546,0.542042699315353,5.233762599993497,0.3178686000173911,20,82332,0.3064176171029644,0.0147584030193174,0.0237930858652538
rf_all,3407,0.8628479813438275,0.6027556421413115,0.5599417598890877,3.930508599994937,0.4343483000120614,43,82332,0.4097041138763319,0.0171093115198984,0.0533058810825604
rf_chi2,3407,0.856993635524462,0.5952854627080549,0.5353523951024856,3.317414799996186,0.4387324000126682,20,82332,0.4533854997331138,0.0185983464579731,0.0431930466995408
extra_trees_chi2,3407,0.8443011222853811,0.589904617285819,0.50777283920929,2.290609599993332,0.5233776000095531,20,82332,0.5119987693363058,0.0221568029257623,0.0438925733015166
xgboost_chi2,3407,0.8812369431083904,0.5559788337758487,0.5433122870491613,7.024045900005149,0.3391182000050321,20,82332,0.3055670354478966,0.0147521523215146,0.0237256834039247
