,precision,recall,f1-score,support
Analysis,0.1413793103448276,0.060561299852289516,0.08479834539813857,677.0
Backdoor,0.033761749472472666,0.3018867924528302,0.06073153899240856,583.0
DoS,0.493844049247606,0.08828564441183663,0.14979253112033195,4089.0
Exploits,0.8431372549019608,0.5832734459216673,0.6895343280412043,11132.0
Fuzzers,0.6227172646030307,0.7931375783569778,0.6976710440397591,6062.0
Generic,0.9204131557488447,0.8971967569286207,0.9086566843771803,18871.0
Normal,1.0,1.0,1.0,37000.0
Reconnaissance,0.7404330312185297,0.8412471395881007,0.787627209426888,3496.0
Shellcode,0.23805309734513275,0.7116402116402116,0.356763925729443,378.0
Worms,0.16201117318435754,0.6590909090909091,0.2600896860986547,44.0
accuracy,0.8386654034883156,0.8386654034883156,0.8386654034883156,0.8386654034883156
macro avg,0.5195750086066762,0.5936319778243443,0.4995665293224009,82332.0
weighted avg,0.8787618944238518,0.8386654034883156,0.8460574304121616,82332.0
