,precision,recall,f1-score,support
Analysis,0.04554079696394687,0.03545051698670606,0.03986710963455149,677.0
Backdoor,0.035306334371754934,0.2915951972555746,0.06298629121897,583.0
DoS,0.33458646616541354,0.21765712888236732,0.2637427767076604,4089.0
Exploits,0.8004544962666378,0.6644807761408552,0.7261571688018456,11132.0
Fuzzers,0.795907279971025,0.7250082481029363,0.7588052486187845,6062.0
Generic,0.9924342105263158,0.9592496423083038,0.9755598070652907,18871.0
Normal,1.0,0.9999189189189189,0.9999594578158574,37000.0
Reconnaissance,0.8957270408163265,0.8034897025171625,0.8471049457177322,3496.0
Shellcode,0.2519480519480519,0.7698412698412699,0.3796477495107632,378.0
Worms,0.6410256410256411,0.5681818181818182,0.6024096385542169,44.0
accuracy,0.8635767380848273,0.8635767380848273,0.8635767380848273,0.8635767380848273
macro avg,0.5792930318055114,0.6034873219135913,0.5656240193645672,82332.0
weighted avg,0.900477546636007,0.8635767380848273,0.8789461582027226,82332.0
