,precision,recall,f1-score,support
Analysis,0.06831395348837209,0.06942392909896603,0.06886446886446887,677.0
Backdoor,0.036348784970390034,0.3053173241852487,0.06496350364963503,583.0
DoS,0.3505933117583603,0.15896307165566154,0.2187447417129396,4089.0
Exploits,0.7856062243354225,0.6530722242184693,0.7132345727460021,11132.0
Fuzzers,0.7164078325455773,0.7000989772352358,0.7081595194393459,6062.0
Generic,0.9944714727996462,0.9532086269938,0.9734029600367975,18871.0
Normal,1.0,1.0,1.0,37000.0
Reconnaissance,0.8019310344827586,0.8315217391304348,0.816458362589524,3496.0
Shellcode,0.2878306878306878,0.7195767195767195,0.41118669690098264,378.0
Worms,0.40350877192982454,0.5227272727272727,0.45544554455445546,44.0
accuracy,0.8572487003838118,0.8572487003838118,0.8572487003838118,0.8572487003838118
macro avg,0.5445012074141039,0.5913909884821809,0.5430460370494152,82332.0
weighted avg,0.8901280808900706,0.8572487003838118,0.8697763488973831,82332.0
