,precision,recall,f1-score,support
Analysis,0.09076175040518639,0.0827178729689808,0.0865533230293663,677.0
Backdoor,0.03936411809235428,0.08919382504288165,0.0546218487394958,583.0
DoS,0.46598639455782315,0.033504524333577895,0.06251425963951632,4089.0
Exploits,0.6152671755725191,0.8688465684513116,0.7203932667957694,11132.0
Fuzzers,0.8083043716846534,0.7289673375123722,0.7665886026541764,6062.0
Generic,0.9995565164366096,0.9554872555773409,0.9770251964237334,18871.0
Normal,1.0,1.0,1.0,37000.0
Reconnaissance,0.9152597402597402,0.806350114416476,0.857360097323601,3496.0
Shellcode,0.29726205997392435,0.6031746031746031,0.3982532751091703,378.0
Worms,0.6296296296296297,0.38636363636363635,0.4788732394366197,44.0
accuracy,0.8797429917893407,0.8797429917893407,0.8797429917893407,0.8797429917893407
macro avg,0.586139175661244,0.5554605737841181,0.5402183109151449,82332.0
weighted avg,0.88594175398195,0.8797429917893407,0.8698795540362698,82332.0
