model,seed,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,test_samples
tuned_random_forest,42,0.9564356435643564,0.9386138613861386,0.9742574257425742,0.9565383111274114,0.9378470964203952,0.9727022930195414,505
tuned_random_forest,2024,0.9564356435643564,0.9366336633663367,0.9742574257425742,0.9564944801917502,0.9374166385547512,0.9730620567013142,505
tuned_random_forest,3407,0.9564356435643564,0.9386138613861386,0.9742574257425742,0.9564944801917502,0.9373840698658213,0.9734376847213796,505
tuned_decision_tree,42,0.9524752475247524,0.9326732673267327,0.9702970297029703,0.9525665774074705,0.9337810569782459,0.9690053664287414,505
tuned_decision_tree,2024,0.9504950495049505,0.9306930693069307,0.9683168316831683,0.9505307707241313,0.9306239432609043,0.9681977965690601,505
tuned_decision_tree,3407,0.9504950495049505,0.9306930693069307,0.9683168316831683,0.9504936811832108,0.9295965693039614,0.968083819519735,505
tuned_svm,42,0.9346534653465347,0.9128712871287129,0.9544554455445544,0.9343796304491964,0.9125754973177389,0.9550184049834594,505
tuned_svm,2024,0.9346534653465347,0.9108910891089109,0.9564356435643564,0.9343796304491964,0.9123859194778,0.9554274153576549,505
tuned_svm,3407,0.9346534653465347,0.9128712871287129,0.9544554455445544,0.9343796304491964,0.9116990127270366,0.9544750469237938,505
tuned_extra_trees,42,0.9465346534653465,0.9267326732673268,0.9643564356435643,0.9466877876001467,0.926417511861534,0.964834433409202,505
tuned_extra_trees,2024,0.9504950495049505,0.9287128712871288,0.9683168316831683,0.9506710909896959,0.9307701174310888,0.9678718251089626,505
tuned_extra_trees,3407,0.9485148514851485,0.9287128712871288,0.9663861386138616,0.9487084807356284,0.9286016420631235,0.9672054417053448,505
weighted_rf_chi2,42,0.9584158415841584,0.9405940594059405,0.9762376237623762,0.9584454627321041,0.9408492828724668,0.9742123370643209,505
weighted_rf_chi2,2024,0.9564356435643564,0.9366336633663367,0.9742574257425742,0.956415244128323,0.9369489151179973,0.9730408798062637,505
weighted_rf_chi2,3407,0.9544554455445544,0.9366336633663367,0.9722772277227723,0.9545106830436805,0.9352012523205931,0.9718684657152564,505
