model,condition,accuracy,macro_precision,macro_recall,macro_f1
rf_all,clean,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114
rf_all,gaussian_noise_1pct_mean,0.6499009900990098,0.824532849340914,0.6499009900990098,0.6368935800380938
rf_all,gaussian_noise_5pct_mean,0.4982178217821783,0.7999015428634662,0.4982178217821783,0.43706519364930296
rf_all,feature_mask_1pct_mean,0.956039603960396,0.9567215666392036,0.956039603960396,0.9561283400341601
rf_all,feature_mask_5pct_mean,0.9538613861386139,0.9549086778546778,0.9538613861386139,0.9540294755282513
extra_trees_all,clean,0.9465346534653465,0.9473303863601515,0.9465346534653465,0.9466877876001467
extra_trees_all,gaussian_noise_1pct_mean,0.8041584158415842,0.882791377621507,0.8041584158415842,0.8129788305096486
extra_trees_all,gaussian_noise_5pct_mean,0.6669306930693069,0.8546732019407026,0.6669306930693069,0.6807711869115004
extra_trees_all,feature_mask_1pct_mean,0.9481188118811879,0.9489027655976383,0.9481188118811879,0.9482522435129728
extra_trees_all,feature_mask_5pct_mean,0.9469306930693069,0.9476559854537886,0.9469306930693069,0.9469954233802158
weighted_rf_chi2,clean,0.9584158415841584,0.9589276262531913,0.9584158415841584,0.9584454627321041
weighted_rf_chi2,gaussian_noise_1pct_mean,0.6386138613861385,0.8141672124959832,0.6386138613861385,0.6209343323710329
weighted_rf_chi2,gaussian_noise_5pct_mean,0.48237623762376225,0.7834401071361364,0.48237623762376247,0.4197625271178328
weighted_rf_chi2,feature_mask_1pct_mean,0.9544554455445546,0.9554219229823346,0.9544554455445546,0.9545847598416428
weighted_rf_chi2,feature_mask_5pct_mean,0.9491089108910892,0.9520917965464728,0.9491089108910892,0.9489114005079701
