model,seed,accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_samples
tuned_random_forest,42,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114,0.6259609999833629,0.04942729999311268,78,505
tuned_decision_tree,42,0.9524752475247524,0.9528200783879293,0.9524752475247524,0.9525665774074705,0.023770500003593042,0.00043050001841038465,60,505
tuned_svm,42,0.9346534653465347,0.9371670946754351,0.9346534653465346,0.9343796304491964,0.038153600005898625,0.012820399977499619,78,505
tuned_extra_trees,42,0.9465346534653465,0.9473303863601515,0.9465346534653465,0.9466877876001467,0.3849034000013489,0.06188550000661053,78,505
weighted_rf_chi2,42,0.9584158415841584,0.9589276262531913,0.9584158415841584,0.9584454627321041,1.163592199998675,0.04444840000360273,60,505
tuned_random_forest,2024,0.9564356435643564,0.9570250830576953,0.9564356435643564,0.9564944801917502,0.7337315000186209,0.06373090000124648,78,505
tuned_decision_tree,2024,0.9504950495049505,0.9506379764190012,0.9504950495049505,0.9505307707241313,0.0257174999860581,0.0004360000020824373,60,505
tuned_svm,2024,0.9346534653465347,0.9371670946754351,0.9346534653465346,0.9343796304491964,0.042444199993042275,0.013579299993580207,78,505
tuned_extra_trees,2024,0.9504950495049505,0.9514521321547962,0.9504950495049505,0.9506710909896959,0.4121286000008695,0.0611215999815613,78,505
weighted_rf_chi2,2024,0.9564356435643564,0.9566707104177462,0.9564356435643564,0.956415244128323,1.1933991000114474,0.04143320000730455,60,505
tuned_random_forest,3407,0.9564356435643564,0.9570250830576953,0.9564356435643564,0.9564944801917502,0.7882831000024453,0.06086120000691153,78,505
tuned_decision_tree,3407,0.9504950495049505,0.9507480213338309,0.9504950495049505,0.9504936811832108,0.02672250001342036,0.0008336000028066337,60,505
tuned_svm,3407,0.9346534653465347,0.9371670946754351,0.9346534653465346,0.9343796304491964,0.040767200000118464,0.014233100024284795,78,505
tuned_extra_trees,3407,0.9485148514851485,0.9493335998867863,0.9485148514851485,0.9487084807356284,0.42742059999727644,0.06156179998652078,78,505
weighted_rf_chi2,3407,0.9544554455445544,0.9548729517324948,0.9544554455445544,0.9545106830436805,1.2637755000032485,0.047889099980238825,60,505
