model,condition,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
rf_chi2,clean,0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144
rf_chi2,gaussian_noise_1pct_mean,0.6803960396039603,,0.8159666944626025,0.6803960396039603,0.6790071062281738
rf_chi2,gaussian_noise_5pct_mean,0.514059405940594,,0.7653505136772187,0.514059405940594,0.46347172509648765
rf_chi2,feature_mask_1pct_mean,0.9611881188118812,,0.9625909719203352,0.9611881188118812,0.9612910961743848
rf_chi2,feature_mask_5pct_mean,0.9598019801980197,,0.9614642685061534,0.9598019801980197,0.9599463769289487
weighted_rf_chi2,clean,0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144
weighted_rf_chi2,gaussian_noise_1pct_mean,0.6827722772277227,,0.818315436991137,0.6827722772277227,0.6801512837932082
weighted_rf_chi2,gaussian_noise_5pct_mean,0.5122772277227723,,0.7631603697264764,0.5122772277227723,0.46153393869430326
weighted_rf_chi2,feature_mask_1pct_mean,0.9613861386138612,,0.962799729386313,0.9613861386138612,0.9614962034194077
weighted_rf_chi2,feature_mask_5pct_mean,0.9601980198019803,,0.9616358135442187,0.9601980198019803,0.960318514700317
extra_trees_chi2,clean,0.9465346534653465,0.9465346534653465,0.9484795482892198,0.9465346534653465,0.9463054609104635
extra_trees_chi2,gaussian_noise_1pct_mean,0.9380198019801981,,0.9424055161168224,0.9380198019801981,0.9385122182526118
extra_trees_chi2,gaussian_noise_5pct_mean,0.7970297029702971,,0.8786361497089968,0.7970297029702971,0.8103076907521697
extra_trees_chi2,feature_mask_1pct_mean,0.945940594059406,,0.9479346770859239,0.945940594059406,0.9457584702169581
extra_trees_chi2,feature_mask_5pct_mean,0.9457425742574257,,0.947960751365698,0.9457425742574257,0.9456181230128788
