cv,risk_C,descriptor_set,mean,std
3,1.0,margin,0.8960059196160892,0.00020199017868478288
3,1.0,entropy,0.8960059196160892,0.00020199017868478288
3,0.1,margin,0.8960059196160892,0.00020199017868478288
3,0.1,entropy,0.8960059196160892,0.00020199017868478288
5,0.1,entropy,0.8960059196160892,0.00020199017868478288
10,0.1,entropy,0.8960059196160892,0.00020199017868478288
10,1.0,entropy,0.8960059196160892,0.00020199017868478288
10,10.0,all,0.8960059196160892,0.00020199017868478288
3,10.0,margin,0.8960059196160892,0.00020199017868478288
3,10.0,entropy,0.8960059196160892,0.00020199017868478288
5,0.01,entropy,0.8960059196160892,0.00020199017868478288
5,0.01,all,0.8960059196160892,0.00020199017868478288
10,10.0,entropy,0.8960059196160892,0.00020199017868478288
10,1.0,all,0.8960059196160892,0.00020199017868478288
10,0.1,all,0.8960059196160892,0.00020199017868478288
5,10.0,margin,0.8960059196160892,0.00020199017868478288
5,1.0,margin,0.895865076666155,0.000304581779778551
10,0.1,margin,0.895865076666155,0.000304581779778551
3,0.01,entropy,0.895865076666155,0.000304581779778551
3,0.01,all,0.895865076666155,0.000304581779778551
10,10.0,margin,0.895865076666155,0.000304581779778551
10,0.01,all,0.895865076666155,0.000304581779778551
10,1.0,margin,0.895865076666155,0.000304581779778551
10,0.01,entropy,0.895865076666155,0.000304581779778551
5,0.1,margin,0.895865076666155,0.000304581779778551
3,0.01,margin,0.8957249740589305,0.0005123968412297932
10,0.01,margin,0.8957249740589305,0.0005123968412297932
5,0.01,margin,0.8957249740589305,0.0005123968412297932
3,0.1,all,0.8956740281645902,0.0005945482883729872
5,1.0,entropy,0.8956740281645902,0.0005945482883729872
5,0.1,all,0.8956740281645902,0.0005945482883729872
3,10.0,all,0.8956740281645902,0.0005945482883729872
3,1.0,all,0.8956740281645902,0.0005945482883729872
5,1.0,all,0.8956740281645902,0.0005945482883729872
5,10.0,all,0.8956740281645902,0.0005945482883729872
5,10.0,entropy,0.8956740281645902,0.0005945482883729872
