model,seed,macro_f1,accuracy,balanced_accuracy,log_loss,ece,train_seconds,predict_seconds
rccf,42,0.8892836200101021,0.9777109942399198,0.9490082969120378,0.05147464118213878,0.006991480743833621,61.67511129999912,0.19040689999928873
equal_rf_all,42,0.88654495355369,0.9765840220385675,0.9500862978194732,0.054867752308627005,0.006515009694456157,0.8342197000001761,0.039612700000361656
equal_rf_chi2,42,0.8917144123681334,0.9784623090408214,0.9497027099691626,0.05225710191599674,0.004512478355742379,0.7947199000009277,0.03919280000081926
extra_trees_chi2,42,0.8573914215374285,0.9633107938893063,0.9633617286022387,0.09084614952952039,0.016037729937496966,0.41248950000044715,0.039020000000164146
rccf,2024,0.8913329243822133,0.9783370899073378,0.9496360433024961,0.051651079352946196,0.006089640273870495,88.39202699999987,0.25041650000093796
equal_rf_all,2024,0.8906723915003536,0.977961432506887,0.9511140442099315,0.05298547240116304,0.003908887710529877,1.4148935000011988,0.05326749999949243
equal_rf_chi2,2024,0.8922938472322974,0.9784623090408214,0.951616241322298,0.05166962477307507,0.003765398528494136,1.4920758000007481,0.04266590000042925
extra_trees_chi2,2024,0.8570803425346181,0.9633107938893063,0.9615659624719534,0.08984655375852167,0.016640911657289335,0.7859024999997928,0.05271580000044196
rccf,3407,0.8892485444056542,0.9777109942399198,0.9489494143006129,0.051300353609972,0.006735171819914284,118.72254770000109,0.33160619999944174
equal_rf_all,3407,0.8866639521652754,0.9763335837716003,0.9513365523364502,0.054865564622918014,0.004952948819643488,1.7883674999993673,0.05650900000000547
equal_rf_chi2,3407,0.8911441006852723,0.9778362133734034,0.9529020262849752,0.052950208684487285,0.0031460984466749383,1.8637731999988318,0.06479440000111936
extra_trees_chi2,3407,0.8564712653830252,0.9629351364888555,0.9612481972491034,0.08978184519070267,0.016293247704274476,0.9408952000012505,0.06976299999951152
rccf,7,0.8892836200101021,0.9777109942399198,0.9490082969120378,0.05239197088156197,0.006697930049447746,119.9598305999989,0.3205254000004061
equal_rf_all,7,0.8857876655628096,0.9759579263711495,0.9532856141352856,0.05504131356644376,0.005644624139532605,1.7127628999987792,0.06507659999988391
equal_rf_chi2,7,0.8907096995342865,0.9780866516403707,0.9511807108765981,0.05283589680167383,0.0041979720786092896,1.544292000000496,0.05649649999941175
extra_trees_chi2,7,0.8581472079426709,0.9635612321562734,0.963495061935572,0.08731474343765347,0.015298493995164315,0.8252646999990247,0.06438689999959024
rccf,13,0.8888689597597252,0.977961432506887,0.9473458641150858,0.05209557183636891,0.0075997463366971035,130.34921699999904,0.31740739999986545
equal_rf_all,13,0.8885532778074378,0.9772101177059854,0.9503607485413814,0.053648512937421754,0.004643821534509098,1.586412399999972,0.053972800000337884
equal_rf_chi2,13,0.8884877627929912,0.9778362133734034,0.9454245487067088,0.050105728679293506,0.004859121332689663,1.5920461000005162,0.05615369999941322
extra_trees_chi2,13,0.8589301303617036,0.9640621086902078,0.9619659624719535,0.09142535895281514,0.0166910070379148,0.9183788999998796,0.06885789999978442
rccf,101,0.8873711980387198,0.9775857751064363,0.9451145675391006,0.051992327763719474,0.006585639904031531,138.8316837000002,0.24656450000111363
equal_rf_all,101,0.887352312934987,0.9769596794390183,0.9484905316891877,0.05536516464700272,0.004828638665626292,0.8788784000007581,0.039861999999629916
equal_rf_chi2,101,0.8865250410082741,0.977335336839469,0.9454228512116748,0.052905355204566525,0.006000900534191799,0.855769900001178,0.04098519999934069
extra_trees_chi2,101,0.8571179886704796,0.9633107938893063,0.9616248450833783,0.08939300194785392,0.016519808683587198,0.5067411999989417,0.03905090000080236
rccf,202,0.889350230461203,0.9778362133734034,0.9490749635787046,0.05156720934136131,0.00682124529487012,71.96782349999921,0.19154429999980493
equal_rf_all,202,0.8863636191446232,0.976709241172051,0.9479450200758797,0.05502821218302405,0.005048349101570172,0.7966118999993341,0.039179900000817725
equal_rf_chi2,202,0.889204745517729,0.977335336839469,0.9523409465611834,0.053155614978190976,0.004830456480318127,0.8923360999997385,0.040529800000513205
extra_trees_chi2,202,0.8576792446110086,0.9634360130227899,0.9616915117500451,0.09129929198898223,0.019804109929952872,0.4420393000000331,0.04119139999966137
rccf,303,0.8905734400419943,0.9782118707738543,0.9494516114129794,0.05237296802786739,0.007036000321567193,67.81820519999928,0.1935391000006348
equal_rf_all,303,0.8909883812723194,0.9777109942399198,0.9545722431371688,0.05393660107808231,0.006871813906934007,0.871806099999958,0.03876680000030319
equal_rf_chi2,303,0.8903022314074984,0.977961432506887,0.9510551615985066,0.0509107250208256,0.004618579523496386,0.8671595000014349,0.041504700000587036
extra_trees_chi2,303,0.8560048676365393,0.963060355622339,0.9612559813043451,0.08838526917093012,0.015684103225192658,0.4851146000000881,0.04075799999918672
rccf,404,0.8890050578698595,0.9777109942399198,0.9471536481703275,0.05175359685418994,0.006735815064570697,67.12593239999842,0.19286130000000412
equal_rf_all,404,0.8870302854977483,0.9772101177059854,0.9483883345768213,0.05459264805828327,0.007844871153067173,0.8063409999995201,0.04034260000116774
equal_rf_chi2,404,0.8882619358185929,0.9775857751064363,0.9469692162808109,0.051649266060222986,0.0035102029100589844,0.8151035999999294,0.04149950000100944
extra_trees_chi2,404,0.8585243273145403,0.963686451289757,0.9636794938250887,0.09199320698770522,0.020689800674630655,0.4539913999997225,0.0409577000009449
rccf,505,0.8884652251920888,0.9778362133734034,0.9472203148369941,0.0516645433913656,0.007196133129540656,67.7184156000003,0.20347980000042298
equal_rf_all,505,0.8867007169750917,0.9765840220385675,0.9499096499851982,0.05415820653655774,0.004665204274459664,0.8457359000003635,0.03864379999868106
equal_rf_chi2,505,0.8886974059243299,0.9769596794390183,0.9539955953028938,0.05357217948124985,0.005492641286324849,0.8677107999992586,0.04020019999916258
extra_trees_chi2,505,0.8575562177108577,0.963686451289757,0.9616481972491033,0.08663684436867923,0.01636644589658336,0.4649864000002708,0.041350200001033954
