seed,n_rows,macro_f1_rccf,macro_f1_baseline,delta,relative_delta_pct,ci_low,ci_high,ci95_low,ci95_high,n_a_correct_b_wrong,n_a_wrong_b_correct,discordant,mcnemar_p,paired_effect_delta,tost_equivalent_at_0.005,tost_equivalent_at_0.01
42,7986,0.8892836200101021,0.8917144123681334,-0.0024307923580313417,-0.27259763039781604,-0.004795640212029129,-0.00025102918776506765,-0.00522330318879329,0.00010133467512491167,3,9,12,0.14599609375,-0.0007513148009015778,True,True
2024,7986,0.8913329243822133,0.8922938472322974,-0.0009609228500840894,-0.10769130069255373,-0.004233873710170288,0.0022470695599107354,-0.0049217348054828415,0.0030912337795332727,5,6,11,1.0,-0.00012521913348359628,True,True
3407,7986,0.8892485444056542,0.8911441006852723,-0.001895556279618127,-0.2127104110502983,-0.004739746229720171,0.0006888598824715429,-0.005424012699145322,0.0011481679907651232,5,6,11,1.0,-0.00012521913348359628,True,True
7,7986,0.8892836200101021,0.8907096995342865,-0.001426079524184387,-0.16010598345678984,-0.005005233911488094,0.002055623455052251,-0.005592704057077499,0.0027653714436864534,6,9,15,0.6072387695312499,-0.0003756574004507889,False,True
13,7986,0.8888689597597252,0.8884877627929912,0.0003811969667339987,0.04290401991983471,-0.0028665770771680033,0.003372789455929947,-0.0033384484072107004,0.004011200097609116,5,4,9,1.0,0.00012521913348359628,True,True
101,7986,0.8873711980387198,0.8865250410082741,0.00084615703044566,0.09544648952987247,-0.0027948753016132644,0.0044842977250098715,-0.0035354126704374433,0.00532091315879282,6,4,10,0.75390625,0.00025043826696719256,True,True
202,7986,0.889350230461203,0.889204745517729,0.00014548494347399465,0.01636124235811267,-0.0036835643090324054,0.0036958378222473717,-0.004559063259170812,0.00452352050586641,8,4,12,0.3876953125,0.0005008765339343851,True,True
303,7986,0.8905734400419943,0.8903022314074984,0.00027120863449592303,0.03046253563435007,-0.002826536571067617,0.0033020570649041673,-0.0036266153970627517,0.0038680803242762954,4,2,6,0.6875,0.00025043826696719256,True,True
404,7986,0.8890050578698595,0.8882619358185929,0.000743122051266587,0.08366023819108609,-0.0030566398208879517,0.00440546839170724,-0.003958908543667913,0.004984883902820657,7,6,13,1.0,0.00012521913348359628,True,True
505,7986,0.8884652251920888,0.8886974059243299,-0.00023218073224107183,-0.02612596038801101,-0.00465565848318446,0.0036328856273269224,-0.005459769156293165,0.004320045632929139,14,7,21,0.18924713134765625,0.000876533934385174,True,True
