,precision,recall,f1-score,support
Analysis,0.011259676284306826,0.023633677991137372,0.015252621544327931,677.0
Backdoor,0.037435284747112704,0.32246998284734135,0.06708296164139162,583.0
DoS,0.30092445011157154,0.23086329175837614,0.26127871574868533,4089.0
Exploits,0.7492714404662781,0.6466942148760331,0.6942140790742527,11132.0
Fuzzers,0.26868241614436256,0.6435169910920489,0.3790875078956319,6062.0
Generic,1.0,0.9630120290392666,0.9811575423820322,18871.0
Normal,0.9823298174600086,0.6821351351351351,0.8051616607914759,37000.0
Reconnaissance,0.8844975490196079,0.8258009153318078,0.8541420118343195,3496.0
Shellcode,0.2230610844200412,0.8597883597883598,0.3542234332425068,378.0
Worms,0.5,0.4318181818181818,0.4634146341463415,44.0
accuracy,0.7152868872370403,0.7152868872370403,0.7152868872370403,0.7152868872370403
macro avg,0.49574617186532893,0.5629732779677687,0.48750151683009657,82332.0
weighted avg,0.8459079567798624,0.7152868872370403,0.7602219825566432,82332.0
