model,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_rows
decision_tree_chi2,42,0.9998518518518519,0.9998518518518519,0.9998518559657065,0.9998518518518519,0.9998518518515089,3.0305570000018633,0.008356000002095243,60,27000
equal_rf_chi2,42,0.9999629629629629,0.999962962962963,0.9999629670777321,0.999962962962963,0.9999629629628487,3.452743499998178,0.04189600000245264,60,27000
equal_rf_all,42,1.0,1.0,1.0,1.0,1.0,3.706276600001729,0.04690610000034212,115,27000
extra_trees_chi2,42,0.9998518518518519,0.9998518518518519,0.9998518806442652,0.9998518518518519,0.9998518518493372,1.293548000001465,0.044159199998830445,60,27000
xgboost_chi2,42,0.9998888888888889,0.9998888888888889,0.9998889094609064,0.9998888888888889,0.9998888847716048,1.716162600001553,0.05614649999915855,60,27000
decision_tree_chi2,2024,0.9998148148148148,0.9998148148148148,0.9998148312693198,0.9998148148148148,0.9998148168711706,3.0721967999998014,0.00564930000109598,60,27000
equal_rf_chi2,2024,1.0,1.0,1.0,1.0,1.0,3.35746189999918,0.03399550000176532,60,27000
equal_rf_all,2024,0.9999629629629629,0.999962962962963,0.9999629670777321,0.999962962962963,0.9999629629628487,3.8632657999987714,0.07759399999849848,115,27000
extra_trees_chi2,2024,0.9998518518518519,0.9998518518518519,0.9998518806442652,0.9998518518518519,0.9998518518493372,1.2629321999993408,0.045767500003421446,60,27000
xgboost_chi2,2024,0.9998888888888889,0.9998888888888889,0.9998889094609064,0.9998888888888889,0.9998888847716048,1.6807310000003781,0.02171699999962584,60,27000
decision_tree_chi2,3407,0.9998148148148148,0.9998148148148148,0.9998148395006871,0.9998148148148148,0.9998148189286694,3.024116699998558,0.006315800001175376,60,27000
equal_rf_chi2,3407,1.0,1.0,1.0,1.0,1.0,3.3561221999989357,0.045221399999718415,60,27000
equal_rf_all,3407,0.9999259259259259,0.9999259259259259,0.999925942383174,0.9999259259259259,0.9999259259250115,3.747656499999721,0.03851139999824227,115,27000
extra_trees_chi2,3407,0.9998518518518519,0.9998518518518519,0.9998518806442652,0.9998518518518519,0.9998518518493372,1.2772603999983403,0.04260200000135228,60,27000
xgboost_chi2,3407,0.9998518518518519,0.9998518518518519,0.9998518765386383,0.9998518518518519,0.9998518497920665,1.648459100000764,0.020452900000236696,60,27000
