model,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_rows
decision_tree_chi2,42,0.9852699170726985,0.9654522650160313,0.7615118990572772,0.9654522650160313,0.809822558336496,6.021881900000153,0.01684180000302149,60,61982
equal_rf_chi2,42,0.9951437514117002,0.9344241267383122,0.8157433067625688,0.9344241267383122,0.8587493171020542,10.061197300001368,0.10078910000083852,60,61982
equal_rf_all,42,0.994240263302249,0.9349668063559298,0.7979805679987496,0.9349668063559298,0.8455047544709473,10.077440700002626,0.09681339999951888,78,61982
extra_trees_chi2,42,0.9871252944403214,0.9630566844494325,0.727512888798118,0.9630566844494325,0.7777058016131017,6.994104499997775,0.10831020000114222,60,61982
xgboost_chi2,42,0.9976283437126908,0.8172625152970505,0.8945135540262434,0.8172625152970505,0.8235874973863574,6.778995799999393,0.08239740000135498,60,61982
decision_tree_chi2,2024,0.9852699170726985,0.9654522650160313,0.7614029025438016,0.9654522650160313,0.8096923066300118,5.9913352000003215,0.013441600000078324,60,61982
equal_rf_chi2,2024,0.9951921525604208,0.9354790391905402,0.8162653778705037,0.9354790391905402,0.8595409227858442,9.97188339999775,0.09312520000094082,60,61982
equal_rf_all,2024,0.9949501468168178,0.9404674471914009,0.8124797390336443,0.9404674471914009,0.856948995631978,9.857542400000966,0.09617359999901964,78,61982
extra_trees_chi2,2024,0.9881578522796941,0.9636022477279909,0.7344338642284348,0.9636022477279909,0.7851271865481064,6.810871400000906,0.1533531999994011,60,61982
xgboost_chi2,2024,0.9975154076990094,0.8125554909222966,0.8601696582585185,0.8125554909222966,0.8156371289077434,6.741671100000531,0.0771997999981977,60,61982
decision_tree_chi2,3407,0.9853183182214191,0.9654722656827202,0.7616608989854159,0.9654722656827202,0.8099008298852676,5.90835209999932,0.016947699998127064,60,61982
equal_rf_chi2,3407,0.99512761769546,0.9269988648825744,0.8129822057569343,0.9269988648825744,0.854960955245452,9.998576400001184,0.09339680000266526,60,61982
equal_rf_all,3407,0.9947726759381756,0.9377423178872013,0.8091183289154327,0.9377423178872013,0.8543063370275933,10.104473499999585,0.10005930000261287,78,61982
extra_trees_chi2,3407,0.9870446258591203,0.9631422319496428,0.7266716043812024,0.9631422319496428,0.7769806429488828,6.919596700001421,0.10270820000005187,60,61982
xgboost_chi2,3407,0.9975476751314898,0.8157537692274677,0.8885102348451335,0.8157537692274677,0.8224490320124239,6.6326534999971045,0.07997329999852809,60,61982
decision_tree_chi2,7,0.9852860507889387,0.9654589319049276,0.7614095229183089,0.9654589319049276,0.8096990048170992,6.055720199998177,0.017678500000329223,60,61982
equal_rf_chi2,7,0.9950630828304992,0.9270910797161847,0.8125514899720961,0.9270910797161847,0.8548183458071558,9.861059599999862,0.10481929999878048,60,61982
equal_rf_all,7,0.9950308153980187,0.9388839021175996,0.8123781962828882,0.9388839021175996,0.8572815675062693,10.327722699999867,0.11975119999988237,78,61982
extra_trees_chi2,7,0.9882223871446549,0.9635100311163658,0.7343478967942962,0.9635100311163658,0.7846618177873526,7.117911299999832,0.1100053999980446,60,61982
xgboost_chi2,7,0.9975960762802104,0.825844160165353,0.8894555775768435,0.825844160165353,0.835719960434339,6.921053699999902,0.0936853000021074,60,61982
decision_tree_chi2,13,0.9852699170726985,0.9654522650160313,0.7612737641723373,0.9654522650160313,0.8096341294107429,6.074559399999998,0.023700199999439064,60,61982
equal_rf_chi2,13,0.9949501468168178,0.9278415576120516,0.811672692604426,0.9278415576120516,0.8544792995887432,9.87572580000051,0.09432089999972959,60,61982
equal_rf_all,13,0.9946758736407344,0.9433851460571573,0.8070852257869742,0.9433851460571573,0.8538318951701831,9.987021799999638,0.09496620000209077,78,61982
extra_trees_chi2,13,0.9886095963344197,0.9637889188390723,0.7383186530452133,0.9637889188390723,0.7891593824189408,7.010170200002904,0.10372600000118837,60,61982
xgboost_chi2,13,0.9977090122938918,0.8220400590104917,0.9089007650281473,0.8220400590104917,0.830378431568578,6.8804438000006485,0.08246430000144755,60,61982
decision_tree_chi2,101,0.9852537833564583,0.9654455976826313,0.7611589733344248,0.9654455976826313,0.809497692584037,6.039974499999516,0.013936999999714317,60,61982
equal_rf_chi2,101,0.9951437514117002,0.9349835089670698,0.8157933375939797,0.9349835089670698,0.8588825868750961,9.938957200000004,0.10658170000169775,60,61982
equal_rf_all,101,0.9947081410732148,0.9385127973387645,0.8064125967254787,0.9385127973387645,0.8523905293334131,10.144821000001684,0.09725289999914821,78,61982
extra_trees_chi2,101,0.9878835791036107,0.963370027338551,0.7320290962515956,0.963370027338551,0.7824629540341548,6.963976600000024,0.10495179999998072,60,61982
xgboost_chi2,101,0.9975960762802104,0.820161332440034,0.8919290791726306,0.820161332440034,0.8284318748796302,6.88847419999729,0.07731860000058077,60,61982
decision_tree_chi2,202,0.9852376496402181,0.965438930793735,0.7610232143598525,0.965438930793735,0.809432817064988,6.107591500000126,0.01991930000076536,60,61982
equal_rf_chi2,202,0.9950308153980187,0.9309059249220006,0.8132319313159995,0.9309059249220006,0.856306636056258,9.91412830000263,0.09426869999879273,60,61982
equal_rf_all,202,0.994643606208254,0.9323627995512757,0.8058090391704293,0.9323627995512757,0.8507961892766488,10.117654000001494,0.10769760000039241,78,61982
extra_trees_chi2,202,0.9888193346455423,0.9639944734509418,0.7384638442648577,0.9639944734509418,0.7891490132114102,6.996459900001355,0.10839670000132173,60,61982
xgboost_chi2,202,0.9976122099964506,0.8241150611462379,0.8902332575618501,0.8241150611462379,0.833490905069563,6.802313599997433,0.07618700000239187,60,61982
decision_tree_chi2,303,0.9852376496402181,0.965438930793735,0.7611523525139624,0.965438930793735,0.8094909942851117,6.045610900000611,0.014812299999903189,60,61982
equal_rf_chi2,303,0.9952244199929011,0.9373470221545468,0.8171030171916301,0.9373470221545468,0.8606703227982233,10.109287100000074,0.09574419999989914,60,61982
