seed,rccf_macro_f1,control_macro_f1,difference,disagreements,rows
7,0.8583951259211183,0.8548183458071558,0.0035767801139625632,23,61982
13,0.8569117904135732,0.8544792995887432,0.0024324908248299915,28,61982
42,0.8570417622080514,0.8587493171020542,-0.0017075548940027607,25,61982
101,0.8549127856463585,0.8588825868750961,-0.0039698012287375795,22,61982
202,0.8557943323257085,0.856306636056258,-0.000512303730549557,20,61982
303,0.8536281077337895,0.8606703227982233,-0.00704221506443381,23,61982
404,0.8554219815119932,0.8557039164375112,-0.0002819349255179793,20,61982
505,0.8566654553194171,0.857911415516482,-0.0012459601970649103,24,61982
2024,0.8559663104140549,0.8595409227858442,-0.003574612371789243,29,61982
3407,0.8559165846698628,0.854960955245452,0.0009556294244107422,20,61982
