seed,rccf_macro_f1,control_macro_f1,disagreements,rows,difference
42,0.7541630240148188,0.7549122209418825,135,364426,-0.0007491969270636556
2024,0.75518915717832,0.7622465543027297,392,364426,-0.00705739712440967
3407,0.756893740599254,0.759390747751737,212,364426,-0.0024970071524830217
7,0.7544163131926139,0.760375211584022,336,364426,-0.005958898391408063
13,0.7516757034111097,0.7600093588288817,191,364426,-0.008333655417771979
101,0.7528195975903047,0.7585259186360491,171,364426,-0.0057063210457444224
202,0.7552991477875052,0.7650158468603838,257,364426,-0.009716699072878643
303,0.7534768926047566,0.7570566795887272,125,364426,-0.0035797869839706564
404,0.7555162432299917,0.7593096325494381,143,364426,-0.003793389319446394
505,0.7506223385539452,0.7585580378161938,198,364426,-0.007935699262248574
