model,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_rows
decision_tree_chi2,42,0.9671922420463962,0.9530820597452456,0.5853218906223605,0.9530820597452456,0.5957096872301498,44.95221400000082,0.08071969999946305,60,364426
equal_rf_chi2,42,0.9955546530708567,0.9250343474145637,0.7116853170427248,0.9250343474145637,0.7549122209418825,87.50693479999973,0.5729964000020118,60,364426
equal_rf_all,42,0.995126582625828,0.9235866946583604,0.6869029518652043,0.9235866946583604,0.7298086852443764,105.58249119999891,0.6825615999987349,78,364426
extra_trees_chi2,42,0.9909940564065133,0.9697858821042932,0.642631585038447,0.9697858821042932,0.6709544957989222,91.94659279999905,0.6504227999976138,60,364426
xgboost_chi2,42,0.9993057575474856,0.7648616329547775,0.9317674453535055,0.7648616329547775,0.7931715986720136,47.855265499998495,0.4628564999984519,60,364426
decision_tree_chi2,2024,0.9671867539637676,0.9530772772710264,0.5851100516227621,0.9530772772710264,0.5955990323239538,45.26362660000086,0.07263359999706154,60,364426
equal_rf_chi2,2024,0.9961446219534281,0.9248616461735617,0.7168833162112036,0.9248616461735617,0.7622465543027297,132.1816088000014,0.6262765000028594,60,364426
equal_rf_all,2024,0.9950524935103423,0.9283740559772575,0.6920597963477477,0.9283740559772575,0.7351309411872073,178.96155139999973,0.6468144000027678,78,364426
extra_trees_chi2,2024,0.9919242864120562,0.9642725658056055,0.6644891867305233,0.9642725658056055,0.702312733812141,1845.9715246000014,0.5809508999991522,60,364426
xgboost_chi2,2024,0.9992728290517142,0.7653477498231257,0.8800758455647646,0.7653477498231257,0.7896011404127703,41.842563000001974,0.4796335999999428,60,364426
decision_tree_chi2,3407,0.9671867539637676,0.9530772772710264,0.5852135057927201,0.9530772772710264,0.5956519475968274,66.13083559999723,0.11709710000286577,60,364426
equal_rf_chi2,3407,0.9959717473506281,0.9166659419252984,0.716453926630687,0.9166659419252984,0.759390747751737,87.4240608,0.5851102000015089,60,364426
equal_rf_all,3407,0.995088166047428,0.9227033224813697,0.7054965403029058,0.9227033224813697,0.7469411468049028,94.11132539999744,0.548351499997807,78,364426
extra_trees_chi2,3407,0.9916828107763991,0.9591020737362428,0.6654370370898988,0.9591020737362428,0.703937026683192,66.702122900002,0.6755678000008629,60,364426
xgboost_chi2,3407,0.9993304539193142,0.7702929639187488,0.9332778525710251,0.7702929639187488,0.797676650663229,46.72103530000095,0.5380669000005582,60,364426
decision_tree_chi2,7,0.9671922420463962,0.9530785503455013,0.5853252673665104,0.9530785503455013,0.5957096505877841,45.44314999999915,0.07814050000160933,60,364426
equal_rf_chi2,7,0.9960869970858282,0.9182353822354562,0.7163664250858354,0.9182353822354562,0.760375211584022,89.77887419999752,0.48683119999986957,60,364426
equal_rf_all,7,0.9947094883460565,0.9242303863637924,0.6961859995935069,0.9242303863637924,0.7377964178596661,117.24182690000089,0.6029181999983848,78,364426
extra_trees_chi2,7,0.9903656709455417,0.9629930152994532,0.6504094165194043,0.9629930152994532,0.681728791342976,78.21311280000009,0.6254503000018303,60,364426
xgboost_chi2,7,0.9993030135061713,0.7742883512161697,0.8771218772029012,0.7742883512161697,0.8028112804801907,40.05735310000091,0.46002040000166744,60,364426
decision_tree_chi2,13,0.9671894980050819,0.9530814232080083,0.5853212312288048,0.9530814232080083,0.5957090394663116,61.72380069999781,0.10229890000118758,60,364426
equal_rf_chi2,13,0.9955958136905709,0.9175655692409432,0.7199836141044053,0.9175655692409432,0.7600093588288817,77.6002124000006,0.5543136999986018,60,364426
equal_rf_all,13,0.995318665517828,0.928580646077339,0.7041079480233374,0.928580646077339,0.7477193153183734,98.38170049999826,0.5880767999988166,78,364426
extra_trees_chi2,13,0.9900199217399417,0.9680835102656029,0.6647915356066049,0.9680835102656029,0.7016191925179809,58.13538690000132,0.6433298000010836,60,364426
xgboost_chi2,13,0.9993030135061713,0.7743460684541474,0.8810525989412359,0.7743460684541474,0.8017731058364512,34.11966069999835,0.42037250000066706,60,364426
decision_tree_chi2,101,0.9671894980050819,0.9530779138082638,0.5853246079773026,0.9530779138082638,0.5957090028260439,60.94176389999848,0.10553760000038892,60,364426
equal_rf_chi2,101,0.9957357597975995,0.9219780329321543,0.7158548210265135,0.9219780329321543,0.7585259186360491,77.67247130000032,0.5209565000004659,60,364426
equal_rf_all,101,0.995126582625828,0.9215430033818643,0.7032997351531186,0.9215430033818643,0.7448445345283695,100.49338609999904,0.7369326000007277,78,364426
