split,_source_file,target,count
train,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,DoS/DDoS,5507
train,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Normal,653
train,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Normal,798
train,Friday-WorkingHours-Morning.pcap_ISCX.csv,Bot,1364
train,Friday-WorkingHours-Morning.pcap_ISCX.csv,Normal,1188
train,Monday-WorkingHours.pcap_ISCX.csv,Normal,3353
train,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Normal,1565
train,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Brute Force,1004
train,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Normal,1038
train,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack,471
train,Tuesday-WorkingHours.pcap_ISCX.csv,Brute Force,6430
train,Tuesday-WorkingHours.pcap_ISCX.csv,Normal,2725
train,Wednesday-workingHours.pcap_ISCX.csv,DoS/DDoS,8490
train,Wednesday-workingHours.pcap_ISCX.csv,Normal,2679
validation,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,DoS/DDoS,1161
validation,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Normal,133
validation,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Normal,176
validation,Friday-WorkingHours-Morning.pcap_ISCX.csv,Bot,292
validation,Friday-WorkingHours-Morning.pcap_ISCX.csv,Normal,281
validation,Monday-WorkingHours.pcap_ISCX.csv,Normal,718
validation,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Normal,339
validation,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Brute Force,235
validation,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Normal,204
validation,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack,101
validation,Tuesday-WorkingHours.pcap_ISCX.csv,Brute Force,1358
validation,Tuesday-WorkingHours.pcap_ISCX.csv,Normal,559
validation,Wednesday-workingHours.pcap_ISCX.csv,DoS/DDoS,1839
validation,Wednesday-workingHours.pcap_ISCX.csv,Normal,590
test,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,DoS/DDoS,1191
test,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Normal,140
test,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Normal,161
test,Friday-WorkingHours-Morning.pcap_ISCX.csv,Bot,292
test,Friday-WorkingHours-Morning.pcap_ISCX.csv,Normal,296
test,Monday-WorkingHours.pcap_ISCX.csv,Normal,677
test,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Normal,332
test,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Brute Force,231
test,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Normal,224
test,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack,101
test,Tuesday-WorkingHours.pcap_ISCX.csv,Brute Force,1362
test,Tuesday-WorkingHours.pcap_ISCX.csv,Normal,610
test,Wednesday-workingHours.pcap_ISCX.csv,DoS/DDoS,1809
test,Wednesday-workingHours.pcap_ISCX.csv,Normal,560
