expert_set,seed,n_experts,cv,n_features,test_macro_f1_equal_weight,test_macro_f1_gated,gate_gain,disagreement_gated_vs_equal,mean_weight_entropy,elapsed_seconds,mean_pairwise_disagreement,max_pairwise_disagreement,mean_pairwise_kl,mean_confidence_correlation,mean_single_expert_macro_f1,max_single_expert_macro_f1
rf_views_k20,42,4,3,78,0.8813499066489083,0.883561539267671,0.002211632618762671,9,0.999054382160639,35.50067169999966,0.016716754320060107,0.02128725269221137,0.04221696791174396,0.8032271189098831,0.8755594000328899,0.8871609503969939
rf_views_k20,2024,4,3,78,0.8816881281193357,0.884810986826966,0.003122858707630294,10,0.9991178266645918,34.75422499999968,0.01761415811002588,0.02266466316053093,0.04476841612581086,0.7868763155993302,0.8755080612646815,0.8875033340048232
rf_views_k20,3407,4,3,78,0.8823194780925814,0.885118421947746,0.0027989438551646595,9,0.9989853191775027,34.42682690000038,0.018448952333249852,0.02404207362885049,0.0481375848076962,0.7842562261037646,0.8781562883139317,0.8909680161179354
rf_views_k60,42,4,3,78,0.8896318873841332,0.8896318873841332,0.0,0,0.9999717481271194,35.822129199999836,0.003756574004507889,0.005259203606311044,0.01350364663910525,0.9693053331813157,0.8884111279325917,0.8898792036634408
rf_views_k60,2024,4,3,78,0.889071668306153,0.889071668306153,0.0,0,0.999923694433979,35.5796863000005,0.0036522247266048916,0.005259203606311044,0.014384824427311574,0.9667264790507124,0.8883001490324984,0.8907225766732922
rf_views_k60,3407,4,3,78,0.889350230461203,0.889350230461203,0.0,0,0.9999494865648908,35.7704732000002,0.0035270055931212953,0.005259203606311044,0.014486817013128142,0.9648433476659912,0.8882104135574327,0.8894375573135861
rf_same_view_seeds,42,4,3,78,0.8901347825445354,0.8901347825445354,0.0,0,0.9999347159599206,11.640448000000106,0.0020035061357375405,0.002504382669671926,0.012798004346926435,0.9782093131135308,0.8888347344195334,0.8894189535788796
rf_same_view_seeds,2024,4,3,78,0.8907096995342865,0.8907096995342865,0.0,0,0.9999663176606884,11.43373580000025,0.00202437599131814,0.002504382669671926,0.012665138588598078,0.9773276020794013,0.889968985562142,0.8913063514432846
rf_same_view_seeds,3407,4,3,78,0.889350230461203,0.889350230461203,0.0,0,0.9999485760262078,11.692887200000769,0.00202437599131814,0.002880040070122715,0.012913594392975748,0.9799733066606509,0.8887632946440158,0.8907268460155
hetero_families,42,4,3,78,0.8859628400579446,0.8871896002542868,0.0012267601963422692,9,0.9984587777303157,16.69833800000015,0.028383003589615156,0.03956924618081643,0.28414936224773896,0.4953323992767094,0.8670923218218262,0.8884413563288973
hetero_families,2024,4,3,78,0.885151819457799,0.8901051720866718,0.004953352628872865,15,0.9984975917676402,16.647234600000047,0.028132565322647966,0.03919358878036564,0.281051182808574,0.4892132999880752,0.8671831684325224,0.8877247906702399
hetero_families,3407,4,3,78,0.8859568647904595,0.8897423739415572,0.0037855091510976546,11,0.9983112273603876,16.891986999999972,0.02777777777777778,0.03856749311294766,0.2769087992980758,0.4942068676421929,0.8670529892174639,0.8858797451883176
disjoint_views_k60,42,4,3,78,0.8479424104113878,0.8508892915044459,0.0029468810930580736,32,0.9954010190910848,8.63493280000057,0.06363218966524752,0.10080140245429502,0.37499688358847266,0.5134802579503002,0.8187238979783034,0.8555088026653287
disjoint_views_k60,2024,4,3,78,0.8477304818728909,0.8506060710990013,0.00287558922611042,33,0.995434484390778,8.601071900000534,0.06475916186659988,0.10318056599048335,0.3514101517288934,0.5094632882705795,0.8174495914894475,0.8541110799151662
disjoint_views_k60,3407,4,3,78,0.8480481439547793,0.8542449533834711,0.006196809428691719,36,0.9956195216927198,8.901203600000372,0.06482177143334168,0.10205359378913098,0.4663770030136769,0.49723204238554414,0.8178863581951179,0.8531163661652705
